,year,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,renovable,no_renovable
0,2014,447.0,329.0,4844.0,4821.0,162.0,863.0,1051.0,1899.0,7096.0,43.0,73.0,49.0,196.0,6378.0,10313.0,17938.0
1,2015,491.29309360730593,514.6922374429224,5057.722831050229,5347.668607305936,330.32973744292235,533.17899543379,874.3170091324201,2532.9938356164384,6247.219178082192,77.92528538812785,69.22682648401826,1457.746404109589,223.07665525114155,5478.579908675799,10946.042979452055,18289.927625570774
2,2016,365.4863387978142,380.7568306010929,5142.498121584699,3653.552652550091,286.1310906193078,565.876764571949,1022.3574112021857,3382.623633879781,6378.183515482696,60.27999772313297,80.64071038251366,1405.7481215846994,258.24197404371586,5415.63456284153,11872.88120446266,16525.13052140255
3,2017,340.46792237442924,544.2006849315069,6473.478767123288,4333.540639269407,294.7340182648402,418.490296803653,768.475799086758,1603.3780821917808,6346.13002283105,49.26700913242009,94.79086757990868,1495.1819634703197,297.6563926940639,5381.341666666666,9761.658675799084,18679.475456621007
4,2018,336.91488754424023,352.9157438063706,5818.529740837996,3692.8864025573694,282.2220002283366,384.48276058910835,1223.5396734787075,2901.126327206302,6081.971001255851,53.43286904897819,97.89542185180957,1372.8229820755794,298.7420938463295,5584.410263728736,11564.277428930245,16917.61473912547
